,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,10 Million,,,,,,
,,,,,,,,,,,,,,,,,,,
,1st Pass,2nd Pass,3rd Pass,4th Pass,5th Pass,6th Pass,7th Pass,8th Pass,9th Pass,10th Pass,Average,Estiimates calculated using power law,,,Color Code for Array Size,,,,
Java: Insertion Memory,,,,,,,,,,,"1,097,280",ESTIMATED,,,,,,,
Java: Insertion Time,,,,,,,,,,,40000000,ESTIMATED,,,,,,,
Java: Insertion Memory,125728,167832,125888,125888,167832,83944,125888,125888,125888,167832,134260.8,,,,,,,,
Java: Insertion Time,429.6825579,642.9850213,777.2078981,545.6388811,546.0248498,494.916369,569.6367215,665.4108634,555.8228157,555.9665508,578.3292529,,40000000,,,,,,
Java: Insertion Memory,118736,118656,117824,118360,118952,118952,118736,118952,118736,118952,118685.6,,,,,,,,
Java: Insertion Time,1.7100887,1.7174521,1.6478207,1.680684,1.6971502,1.6649309,1.6323818,1.6073276,2.4563183,1.6522303,1.74663846,,,,,,,,
Java: Insertion Memory,41816,41816,41816,41816,41816,41816,41816,41816,41816,41816,41816,,,,,,,,
Java: Insertion Time,0.1060918,0.0927784,0.0918582,0.0781633,0.0930129,0.0767838,0.0776158,0.093893,0.0775545,0.0785831,0.08663348,,,,,,,,
Java: Insertion Memory,41816,41816,41816,41816,41816,41816,41816,41816,41816,41816,41816,,,,,,,,
Java: Insertion Time,0.0674326,0.062193,0.0616659,0.0636535,0.0615051,0.0618739,0.0623879,0.0627144,0.0559439,0.0554045,0.06147747,,,,,,,,
Java: Quick Memory,670864,670952,545064,622008,587000,587000,627312,712800,587000,628936,623893.6,,,,,,,,
Java: Quick Time,0.8304619,0.8401304,1.8167829,0.8415674,0.8617277,0.8523917,0.8351045,0.848443,0.86752,0.8145914,0.94087209,,,,,,,,
Java: Quick  Memory,167848,125904,125904,167848,125904,125904,167848,125904,125904,125904,138487.2,,,,,,,,
Java: Quick Time,0.0853955,0.083936,0.0853129,0.0870888,0.0876094,0.0819625,0.0855438,0.0843871,0.0836974,0.0822476,0.0847181,,,,,,,,
Java: Quick Memory,78720,78720,117848,117848,197624,118376,118376,118752,118752,118752,118376.8,,,,,,,,
Java: Quick Time,0.0126708,0.0260537,0.0152511,0.0138047,0.0121386,0.0144892,0.0197576,0.0147052,0.0135799,0.0170719,0.01595227,,,,,,,,
Java: Quick Memory,41832,41832,41832,41832,41832,41832,41832,41832,41832,41832,41832,,,,,,,,
Java: Quick Time,0.0016263,0.0020718,0.0021254,0.0034489,0.0029407,0.0020262,0.0022473,0.0032686,0.0023452,0.0028677,0.00249681,,,,,,,,
Java: Quick Memory,41832,41832,41832,41832,41832,41832,41832,41832,41832,41832,41832,,,,,,,,
Java: Quick Time,0.0004843,0.0003861,0.0010277,0.000346,0.0013437,0.000374,0.000462,0.0005289,0.0003439,0.0003684,0.0005665,,,,,,,,
Java: Merge Memory,586368,628920,628992,628936,628920,587048,627352,628944,629000,545128,611960.8,,,,,,,,
Java: Merge Time,1.2757627,1.2402125,1.2156589,1.2097476,1.196613901,1.199406501,1.2102315,1.247159801,1.2105701,2.9950188,1.40003823,,,,,,,,
Java: Merge Memory,125904,167848,125904,125904,125904,125904,125904,125904,125904,125904,130098.4,,,,,,,,
Java: Merge Time,0.204459701,0.1795431,0.174044799,0.188415699,0.186858,0.187036399,0.171893199,0.1868651,0.171497601,0.1720192,0.18226328,,,,,,,,
Java: Merge Memory,118752,78720,78720,118752,118968,117848,118752,117848,118752,118752,110586.4,,b,,,,,,
Java: Merge  Time,0.0778592,0.0780526,0.0777444,0.0759346,0.0788587,0.0768852,0.0773418,0.0782269,0.0774843,0.0773782,0.07757659,,,,,,,,
Java: Merge Memory,41824,41824,41824,41824,41824,41824,41824,41824,41824,41824,41824,,,,,,,,
Java: Merge Time,0.0623404,0.0625,0.0613803,0.0551451,0.0601562,0.0619868,0.0613568,0.0615268,0.0610606,0.0623488,0.06098018,,,,,,,,
Java: Merge Memory,42016,42016,41832,41832,41832,41832,41832,42016,41832,41832,41887.2,,,,,,,,
Java: Merge Time,0.0612397,0.0614432,0.0614818,0.0607856,0.0597005,0.0559678,0.062512,0.0634637,0.0630961,0.062092,0.06117824,,,,,,,,
Java: In-Built Memory,626904,586064,536088,626632,617408,662112,542928,710024,670024,586048,616423.2,,,,,,,,
Java: In- Built Time,0.7797364,0.7884886,1.4914553,0.8079941,0.7645735,0.800622,0.7896478,0.77564,0.7929578,0.7795627,0.85706782,,,,,,,,
Java: In-Built Memory,124808,124808,166752,124808,124808,82864,124808,124808,124808,166752,129002.4,,,,,,,,
Java: In- Built Time,0.1549789,0.1581604,0.1556482,0.1861311,0.1997068,0.1551629,0.1538373,0.1700165,0.1874581,0.1682395,0.16893397,,,,,,,,
Java: In-Built Memory,77088,116144,116792,77088,117600,77624,77624,117640,115944,77088,89354.40921,,,,,,,,
Java: In- Built Time,0.0920998,0.0917594,0.0922254,0.0898632,0.0778949,0.0852585,0.0829305,0.0929646,0.0919127,0.1047285,0.09016375,,,,,,,,
Java: In-Built Memory,41568,41568,41568,41568,41568,41568,41568,41568,41568,41568,41568,,,,,,,,
Java: In- Built Time,0.0593814,0.0614482,0.0634667,0.0616466,0.0626973,0.0624306,0.0613934,0.06113,0.0617695,0.0550243,0.0610388,,,,,,,,
Java: In-Built Memory,41568,41568,41568,41568,41568,41568,41568,41568,41568,41568,41568,,,,,,,,
